FID,statcd,statnm,descrizione,dataora,media,minimo,massimo,media_lbl,geom,cd
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78fd,234,Padova,Temperatura aria a 2m,2024-05-27T00:00:00,21.3,14.4,26.4,21.3,POINT (1727642.038 5032075.048),2000
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78fe,235,Soffranco,Temperatura aria a 2m,2024-05-27T00:00:00,15.3,10.6,22.4,15.3,POINT (1749859 5130094),2330
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_78ff,236,San Martino d'Alpago,Temperatura aria a 2m,2024-05-27T00:00:00,15.7,11.7,20.9,15.7,POINT (1762192 5119729),2334
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7900,239,Col di Pra',Temperatura aria a 2m,2024-05-27T00:00:00,13.8,9.6,20.7,13.8,POINT (1725606 5131117),3297
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7901,80,Passo Pordoi,Temperatura aria a 2m,2024-05-27T00:00:00,6.3,4.1,11,6.3,POINT (1716666 5151658),2058
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7902,221,Trecenta,Temperatura aria a 2m,2024-05-27T00:00:00,21.3,14.7,27,21.3,POINT (1691214 4988242),1559
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7903,245,Quero,Temperatura aria a 2m,2024-05-27T00:00:00,18.8,12.3,24.4,18.8,POINT (1727966 5089998),3237
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7904,246,Costalta,Temperatura aria a 2m,2024-05-27T00:00:00,12,9.1,18.3,12,POINT (1773984 5164594),2376
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7905,247,Casamazzagno,Temperatura aria a 2m,2024-05-27T00:00:00,11.8,7.9,17.3,11.8,POINT (1769316 5166067),2382
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7906,248,Piana di Marcesina - Rendole,Temperatura aria a 2m,2024-05-27T00:00:00,10.3,2,16.4,10.3,POINT (1702486 5091759),2394
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7907,88,Crespadoro,Temperatura aria a 2m,2024-05-27T00:00:00,17.5,10.5,24.3,17.5,POINT (1672229.86 5054913.186),2109
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7908,82,Pove del Grappa - Costalunga,Temperatura aria a 2m,2024-05-27T00:00:00,18.4,14.3,25.2,18.4,POINT (1712943 5076136),2078
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7909,266,Santa Giustina Bellunese,Temperatura aria a 2m,2024-05-27T00:00:00,17.2,9.6,25.3,17.2,POINT (1737599 5107373),5570
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_790a,268,Sella Ciampigotto,Temperatura aria a 2m,2024-05-27T00:00:00,8.3,5.6,12.3,8.3,POINT (1775147.611 5154417.328),5629
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_790b,81,Monte Summano,Temperatura aria a 2m,2024-05-27T00:00:00,18.1,13.5,23.2,18.1,POINT (1687851 5069238),2068
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_790c,110,Cittadella,Temperatura aria a 2m,2024-05-27T00:00:00,21.2,12.5,27.4,21.2,POINT (1717673.915 5059697.673),216
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_790d,112,Rosolina - Po di Tramontana,Temperatura aria a 2m,2024-05-27T00:00:00,20.4,14.3,24.8,20.4,POINT (1756791.071 4996051.344),230
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_790e,108,Salizzole,Temperatura aria a 2m,2024-05-27T00:00:00,22.1,16.6,27.5,22.1,POINT (1665611.88 5010656.484),208
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_790f,265,Galzignano - Ca' Demia,Temperatura aria a 2m,2024-05-27T00:00:00,21,12,28.4,21,POINT (1715069.362 5019991.542),5348
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7910,93,Torch,Temperatura aria a 2m,2024-05-27T00:00:00,16.5,12.5,21.8,16.5,POINT (1759719 5116409),2153
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7911,114,Villadose,Temperatura aria a 2m,2024-05-27T00:00:00,20.9,12.9,26.9,20.9,POINT (1730059 4995063),283
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7912,96,Bagnolo di Po - Pellizzare,Temperatura aria a 2m,2024-05-27T00:00:00,20.9,14.7,26.7,20.9,POINT (1699431 4984911),630
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7913,98,Concadirame (Rovigo),Temperatura aria a 2m,2024-05-27T00:00:00,21.2,15.5,27.6,21.2,POINT (1714125 4996919),14
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7914,115,Adria - Bellombra,Temperatura aria a 2m,2024-05-27T00:00:00,20.4,13.8,25.8,20.4,POINT (1737017.833 4989114.01),301
v_ieri_temperatura.fid--6f9816dd_18fbfc802c1_7915,116,Frassinelle Polesine,Temperatura aria a 2m,2024-05-27T00:00:00,21.2,14.7,26.9,21.2,POINT (1711183.248 4985415.406),334
